id,title,description,priority,acceptance_criteria
CA-REQ-021,Batch Auto-Link,"Users must be able to trigger batch auto-linking of all requirements to all code entities via autoLinkRequirements mutation.",Medium,autoLinkRequirements processes each requirement against all symbols;Calls worker LinkRequirement RPC per requirement;Links above minConfidence threshold stored;Returns linksCreated count and requirementsProcessed count;Progress reported during long operations
CA-REQ-022,Link Validation,"The system must support validating whether an existing link is still valid by re-computing embedding similarity.",Low,ValidateLink RPC accepts a link and optional current symbol content;Embedding similarity recomputed between rationale and symbol;still_valid set true if similarity above 0.4;Confidence level enum returned based on new score
CA-REQ-023,Link Quality Evaluation Framework,"The system must support evaluating linking quality against a gold dataset with precision recall and F1 metrics.",Low,Gold dataset loaded from JSON with expected requirement-entity pairs;Predicted links compared against gold using requirement-entity key pairs;Precision recall and F1 computed;Confidence calibration evaluated at configurable threshold;True positive false positive and false negative lists returned
CA-REQ-024,Web Dashboard,"The web UI must show a dashboard with stat cards, platform stats, recent requirement links, and recent AI operations.",High,Dashboard shows stat cards for repositories requirements and coverage;Platform stats show files symbols links and total LLM tokens;Recent links table shows requirement symbol confidence and date;Recent AI operations table from LLM usage query;Empty state provides onboarding guidance
CA-REQ-025,Repository List Page with Inline Forms,"The web UI must show a list of repositories with inline Add Repository and Import Requirements forms.",High,Repository list shows name status and file function class counts;Inline Add Repository form accepts name and path or URL;Inline Import Requirements form per repository accepts content and format;Status badges show indexing state;Last indexed timestamp displayed
CA-REQ-026,Repository Detail Page with Six Tabs,"The web UI must show a repository detail page with tabs for Files, Symbols, Requirements, Analysis, Knowledge, and Settings.",High,Files tab shows all files with language and line count;Symbols tab has kind filter and name search with per-symbol Analyze button;Requirements tab has Auto-Link button and inline import form;Analysis tab has Discuss Code input and Review Code template selector;Knowledge tab shows artifacts with Generate buttons;Settings tab has Re-index and Remove Repository buttons
CA-REQ-027,Requirement List Page with Split Pane,"The web UI must show a requirement list with a split-pane detail view showing linked code symbols.",High,Left pane shows all requirements with priority badges;Right pane shows linked code symbols with confidence badges when requirement selected;Requirement list shows ID title priority and link count
CA-REQ-028,Requirement Detail Page with Manual Linking,"The web UI must show a requirement detail page with description, linked code, manual link creation, and AI enrichment.",High,Detail page shows full description tags and priority;Enrich with AI button calls enrichRequirement mutation;Linked code section shows symbols with verify and reject toggle;Symbol search form for creating manual links with rationale;Per-link confidence badge and verification status
CA-REQ-029,Add Repository Form,"The web UI must provide a form to add a new repository by name and git URL or local path.",High,Form accepts repository name and path;Validation prevents duplicate repository paths;Indexing starts automatically after add via addRepository mutation;Progress indicator shows indexing status
CA-REQ-030,Requirement Upload and Import,"The web UI must provide inline forms for importing requirements from pasted CSV or Markdown content.",High,Text area accepts pasted CSV or Markdown content;Format selector for markdown or csv;Import calls importRequirements mutation with repositoryId content and format;Results show imported count skipped count and warnings;Error reporting for malformed content
CA-REQ-031,AI Analysis Triggers from Web,"The web UI must allow users to trigger all AI analysis operations from the repository detail page.",High,Analyze Symbol button per symbol calls analyzeSymbol mutation and shows inline results;Discuss Code text input calls discussCode mutation and shows answer;Review Code template selector calls reviewCode mutation and shows findings by severity;Auto-Link button calls autoLinkRequirements mutation with progress;Enrich Requirement button on requirement detail page
CA-REQ-032,Onboarding Wizard,"The web UI must guide first-time users through a three-step wizard: welcome, add repo, and done.",Medium,Three-step wizard with progress bar at top;Step 1 shows welcome message;Step 2 prompts user to add a repository via addRepository mutation;Step 3 confirms setup is done;Accessible at /onboarding route
CA-REQ-033,Search Page,"The web UI must provide debounced full-text search across symbols, files, and requirements.",Medium,Search accepts free-text queries with 300ms debounce;Minimum 2 characters required to trigger search;Results grouped by type showing symbols requirements and files;Each result shows title description and navigation link;Click navigates to detail page
CA-REQ-034,Settings Page,"The web UI must provide a settings page with dark/light theme toggle and API endpoint display.",Low,Dark and light theme toggle via useTheme hook;Theme stored in React context and applied via data-theme HTML attribute;Read-only display of NEXT_PUBLIC_API_URL endpoint;Settings accessible at /settings route
CA-REQ-035,Help Page,"The web UI must provide a static help page covering all platform features and keyboard shortcuts.",Low,Getting Started section with initial setup guidance;Repositories section explaining indexing;Requirements and Traceability section;AI Features section covering discuss review explain;Admin and Configuration section;Keyboard Shortcuts reference
CA-REQ-036,Admin Panel with Five Tabs,"The web UI admin page must have tabs for System Status, LLM Configuration, Authentication, Repositories, and Knowledge.",High,System Status tab fetches /api/v1/admin/status showing version uptime db and worker status;LLM Configuration tab shows current provider and model settings;Authentication tab shows auth mode and OIDC configuration;Repositories tab shows repo inventory;Knowledge tab fetches /api/v1/admin/knowledge showing per-repo artifact counts;Test Worker and Test LLM buttons
CA-REQ-037,Traceability Matrix Export,"The system must export the requirement-to-code traceability matrix as CSV or JSON via REST endpoints.",Medium,GET /api/v1/export/traceability with format parameter;GET /api/v1/export/requirements exports all requirements as CSV;GET /api/v1/export/symbols exports all symbols as CSV;CSV format compatible with import for round-trip;JSON format includes full metadata
CA-REQ-038,Knowledge Engine CliffNotes,"The system must generate CliffNotes documents summarizing a repository for a target audience at a specified depth.",High,generateCliffNotes mutation accepts repositoryId audience and depth;Worker assembles repository snapshot JSON and calls LLM;Response includes sections with title content summary confidence and evidence;Required sections added as inferred stubs if LLM omits them;Knowledge artifact stored with sections and evidence in KnowledgeStore
CA-REQ-039,Knowledge Engine Learning Path,"The system must generate Learning Path documents providing step-by-step learning sequences for a repository.",High,generateLearningPath mutation accepts repositoryId audience depth and optional focusArea;Worker generates ordered learning steps with objectives and estimated time;Each step references file paths and symbol IDs as evidence;Knowledge artifact stored with steps as sections
CA-REQ-040,Knowledge Engine Code Tour,"The system must generate Code Tour documents providing guided file-by-file walkthroughs of a repository.",High,generateCodeTour mutation accepts repositoryId audience depth and optional theme;Worker generates ordered tour stops with title description file path and line range;Knowledge artifact stored with stops as sections
CA-REQ-041,Knowledge Engine System Explanation,"The system must answer freeform questions about a repository's architecture and design using LLM analysis.",High,explainSystem mutation accepts repositoryId and question string;Worker assembles snapshot and calls LLM;Returns explanation as markdown text without storing an artifact;Response includes model and token usage
CA-REQ-042,Knowledge Artifact Management,"The system must store, retrieve, refresh, and export knowledge artifacts with sections and evidence.",High,StoreKnowledgeArtifact creates artifact with type audience depth status and source revision;Artifacts marked stale when repository is reindexed;refreshKnowledgeArtifact regenerates by delegating to appropriate generator;DeleteKnowledgeArtifact cascades to sections and evidence;Export as JSON Markdown or HTML via GET /api/v1/export/knowledge/{id}
CA-REQ-043,Knowledge Admin Endpoint,"The admin API must expose a knowledge inventory endpoint showing per-repository artifact counts and status.",Medium,GET /api/v1/admin/knowledge returns per-repo artifact inventory;Shows count of artifacts by status (ready pending generating stale);Knowledge tab in admin panel displays this data
CA-REQ-044,KnowledgeService gRPC Worker,"The Python worker must register a KnowledgeService with four RPCs: GenerateCliffNotes, GenerateLearningPath, ExplainSystem, GenerateCodeTour.",High,KnowledgeServicer registered on gRPC server in __main__.py;GenerateCliffNotes parses LLM JSON into sections with evidence;GenerateLearningPath parses steps with file and symbol references;ExplainSystem returns raw markdown explanation;GenerateCodeTour parses tour stops with file and line range
CA-REQ-045,SSE Event Stream,"The API must provide a Server-Sent Events endpoint for real-time notifications of repository, requirement, and link events.",Medium,GET /api/v1/events subscribes to all events via wildcard;Token passed as query parameter for EventSource compatibility;30-second heartbeat prevents connection timeout;Events include repo.index.started completed failed and requirement.imported linked;Events include link.verified link.rejected and review.completed
CA-REQ-046,Toast Notification System,"The web UI must display real-time toast notifications for server events using the SSE stream.",Medium,Notifications component subscribes to useEventStream hook;Up to 5 toasts displayed simultaneously in bottom-right corner;Each toast auto-removes after 5000ms;Events translated to human-readable messages;Handles 8 event types from SSE stream
CA-REQ-047,Command Palette,"The web UI must provide a command palette accessible via Cmd+K with navigation shortcuts.",Medium,Command palette opens on Cmd+K or Ctrl+K using cmdk library;Navigation commands include Dashboard Repositories Requirements Settings;Additional commands for Search Admin Help and Setup Wizard;Keyboard shortcuts displayed next to commands;Closes after selection or backdrop click
CA-REQ-048,Dark and Light Theme Support,"The web UI must support dark and light themes controlled by a ThemeProvider context.",Low,ThemeProvider sets data-theme attribute on document root;CSS variables scoped to data-theme dark and light selectors;Default theme is dark;Theme toggle on settings page;Theme persisted in React state
CA-REQ-049,Code Viewer with Requirement Overlays,"The web UI must render a read-only CodeMirror editor with colored line overlays indicating requirement coverage by category.",Medium,CodeMirror 6 editor with oneDark theme;Language detection for go python typescript javascript java rust cpp;Overlays colored by category: business blue security red data green compliance purple performance yellow;Optional onLineClick handler for line selection;Streaming text component for AI output display
CA-REQ-050,Traceability Matrix Visualization,"The web UI must render an interactive traceability matrix showing requirements vs symbols with confidence indicators.",Medium,Table with requirements as rows and symbols as columns;Colored circles indicate link confidence: green for verified blue for high yellow for medium grey for low;Green ring overlay for verified links;Sticky left column for requirement IDs;Optional onCellClick handler for cell selection
CA-REQ-051,Dependency Graph Visualization,"The web UI must render an interactive dependency graph showing module file symbol and requirement nodes.",Medium,React Flow graph with four node types: module file symbol requirement;Nodes positioned in 4-column grid layout;Node border color varies by type;Animated edges show relationships;Includes background grid and zoom controls
CA-REQ-052,Coverage Chart,"The web UI must render a bar chart showing per-category requirement coverage percentages.",Low,Recharts BarChart with category-colored bars;Y-axis 0-100 percent;Tooltip shows coverage percentage;Category colors match requirement overlay palette;Configurable title prop
CA-REQ-053,Empty State Components,"The web UI must show guided empty states with action buttons when no repositories, requirements, or search results exist.",Low,NoRepositories shows folder icon with Add Repository action;NoRequirements shows file icon with Import action;NoResults shows search icon with Clear action;All use base EmptyState component with optional icon title description and action
CA-REQ-054,Error Boundary,"The web UI must wrap pages in an error boundary that catches render errors and provides recovery.",Low,React class component using getDerivedStateFromError;Error message displayed with Try Again button;Recovery resets error state to null;Wraps all authenticated page content
CA-REQ-055,AI Concurrency Limiter,"The API must limit concurrent AI GraphQL operations to a maximum of 5 and return 429 when exceeded.",Medium,Semaphore-based limiter wraps GraphQL endpoint;Maximum 5 concurrent AI operations;Returns HTTP 429 Too Many Requests when limit exceeded;Non-AI GraphQL operations not affected
CA-REQ-056,Security Headers Middleware,"The API must set security headers on all responses including CSP, X-Frame-Options, and Referrer-Policy.",Medium,X-Content-Type-Options nosniff;X-Frame-Options DENY;Referrer-Policy strict-origin-when-cross-origin;Permissions-Policy restricts camera microphone geolocation;Content-Security-Policy with default-src and script-src directives
CA-REQ-057,OIDC Authentication Flow,"The OSS API must support optional OIDC authentication with login redirect and callback endpoints.",Medium,GET /auth/oidc/login redirects to OIDC authorization URL;GET /auth/oidc/callback exchanges code for JWT and sets session cookie;GET /auth/info returns oidc_enabled flag;OIDC configuration via config file with issuer_url client_id client_secret redirect_url and scopes
CA-REQ-058,Auth Setup Flow,"The API must support a first-time setup flow where the initial password is created via POST /auth/setup.",High,POST /auth/setup creates initial password and returns JWT;Auto-login on successful setup with session cookie;Endpoint disabled after first password is set;GET /auth/info returns setup_done flag;Rate limited to 10 requests per minute
CA-REQ-059,Password Change,"The API must support password changes for authenticated users via POST /auth/change-password.",Medium,POST /auth/change-password validates old password;Sets new password on successful validation;Requires JWT authentication;Rate limited with auth endpoints
CA-REQ-060,API Token Management,"The API must support creating, listing, and revoking API tokens for programmatic access.",Medium,POST /api/v1/tokens creates a named token and returns full token string once;GET /api/v1/tokens lists all tokens showing prefix only;DELETE /api/v1/tokens/{id} revokes a token by ID;Tokens usable as Bearer auth alternative to JWT
CA-REQ-061,Admin Status and Config API,"The admin API must expose system status, configuration, and diagnostic endpoints.",Medium,GET /api/v1/admin/status returns version uptime db_status worker_status and knowledge stats;GET /api/v1/admin/config returns sanitized config with no secrets;PUT /api/v1/admin/config accepts config updates;POST /api/v1/admin/test-worker calls worker health check;POST /api/v1/admin/test-llm tests LLM availability
CA-REQ-062,VS Code Extension Discuss Command,"The VS Code extension must call the discussCode GraphQL mutation and display results in a webview panel.",High,Command prompts for question via input box;Resolves repository ID from workspace;Sends full file or selection as context;Opens DiscussionPanel webview showing question and answer;Adds to discussion tree view history
CA-REQ-063,VS Code Extension Review Command,"The VS Code extension must call the reviewCode GraphQL mutation and display findings in a webview panel.",High,Command prompts for template via quick pick;Templates: security solid performance reliability maintainability;Opens ReviewPanel webview showing score and findings;Findings color-coded by severity with line references
CA-REQ-064,VS Code Extension Knowledge Commands,"The VS Code extension must support four knowledge generation commands: cliffNotes, learningPath, codeTour, and explainSystem.",High,generateCliffNotes command calls mutation and opens KnowledgePanel;generateLearningPath command calls mutation and opens KnowledgePanel;generateCodeTour command calls mutation and opens KnowledgePanel;explainSystem command prompts for question and opens ExplainPanel;All resolve repository ID and check server connectivity
CA-REQ-065,VS Code CodeLens Provider,"The VS Code extension must show CodeLens annotations above functions indicating linked requirements.",High,CodeLens provider registered for 9 languages;Queries symbols for current file then requirement links per symbol;Shows requirement IDs as checklist icon with comma-separated list;Clicking CodeLens triggers showRequirements command
CA-REQ-066,VS Code Hover Provider,"The VS Code extension must show linked requirements and signatures on hover over indexed symbols.",Medium,Hover provider registered for 9 languages;Resolves symbol at cursor position by line range;Shows symbol name signature and doc comment;Shows linked requirements with confidence and verified status
CA-REQ-067,VS Code Gutter Decorations,"The VS Code extension must show colored background decorations on lines with linked requirements grouped by confidence.",Medium,Four decoration types for VERIFIED HIGH MEDIUM and LOW confidence;Highest confidence wins when multiple links cover same symbol;Colors applied as full-line background and overview ruler;Updates on active editor change and document change;Disposed on extension deactivation
CA-REQ-068,VS Code Requirements Tree View,"The VS Code extension must provide a sidebar tree view showing requirements for the first repository.",Medium,Tree provider fetches repositories and takes first repo;Queries up to 100 requirements;Shows externalId as label and title as description;Refresh method fires event emitter;Placeholder shown when no requirements exist
CA-REQ-069,VS Code Discussion Tree View,"The VS Code extension must provide a sidebar tree view showing discussion history from the current session.",Low,In-memory discussion list with addDiscussion method;Shows questions truncated to 50 chars as labels;Shows answers truncated to 80 chars as descriptions;Placeholder when no discussions yet;Most recent discussion appears first
CA-REQ-070,VS Code Knowledge Tree View,"The VS Code extension must provide a two-level sidebar tree view showing knowledge artifacts and their sections.",Medium,Top level shows artifacts with type label and section count;Warning icon shown for stale artifacts;Expanding artifact shows sections ordered by orderIndex;Each section shows confidence percentage and inferred badge;Placeholder when no artifacts exist
CA-REQ-071,VS Code Webview Panels,"The VS Code extension must render HTML webview panels for discussion, review, knowledge, and explanation results.",Medium,DiscussionPanel shows question block and answer with optional references;ReviewPanel shows template name score percentage and severity-colored findings;KnowledgePanel shows metadata sections with confidence and evidence;ExplainPanel shows question and explanation in pre-wrap;All panels use enableScripts false and HTML-escaped content
CA-REQ-072,VS Code Configure Command,"The VS Code extension must provide a configure command to set API URL and authentication token.",Medium,Command prompts for API URL with current value shown;Prompts for token as password input;Saves both to workspace configuration;Tests connection and shows success or warning message
CA-REQ-073,VS Code Repository Resolution,"The VS Code extension must resolve the active workspace to a server-side repository by name matching.",Medium,Fetches all repositories from server;Matches by workspace folder name case-insensitive;Falls back to auto-select when only one repo exists;Shows QuickPick when multiple repos match;Error classified for LLM unavailability and GraphQL errors
CA-REQ-074,gRPC Worker Service Registration,"The Python worker must register ReasoningService, LinkingService, RequirementsService, and KnowledgeService on the gRPC server.",Critical,All four servicers registered in __main__.py;gRPC health servicer marks all four services as SERVING;gRPC server reflection enabled for all service descriptors;50 MB send and receive message limits;Graceful shutdown on SIGINT and SIGTERM with 5 second grace period
CA-REQ-075,LLM Provider Factory,"The worker must support configurable LLM providers via factory pattern supporting Anthropic, OpenAI, Ollama, and vLLM.",High,create_llm_provider dispatches on provider name;AnthropicProvider uses anthropic AsyncAnthropic with NOT_GIVEN for optional system;OpenAICompatProvider works with any chat completions endpoint;Default base URLs for Ollama and vLLM;FakeLLMProvider returns deterministic fixture responses in test mode
CA-REQ-076,LLM Router with Fallback,"The worker must support an LLM router that tries multiple providers in order with automatic fallback.",Medium,LLMRouter wraps list of LLMProvider instances;Complete method tries each provider in order;On exception logs warning and tries next provider;Raises RuntimeError if all providers fail;Stream method uses same fallback logic
CA-REQ-077,Summary Cache,"The worker must cache summaries and reviews in an in-memory LRU cache keyed by content hash and model version.",Medium,SummaryCache uses OrderedDict with threading Lock;Max size configurable defaulting to 1000;Summaries cached without TTL;Reviews cached with 7-day TTL;Invalidate removes all entries matching a content hash
CA-REQ-078,Circuit Breaker,"The worker must implement a circuit breaker for LLM calls that opens after repeated failures.",Medium,CircuitBreaker opens after failure_threshold consecutive failures;is_open returns true when circuit is open;Auto-resets to closed after reset_timeout seconds;record_success zeroes failure counter and closes circuit;Default threshold 3 failures and 60 second reset
CA-REQ-079,Usage Tracker,"The worker must track LLM API usage records for cost attribution and monitoring.",Low,UsageTracker collects LLMUsageRecord objects;record method appends to thread-safe list;records property returns a copy;clear method empties the list;Records include provider model input_tokens output_tokens operation
CA-REQ-080,Embedding Provider Implementation,"The worker must support embedding generation via Ollama native API and OpenAI-compatible endpoints.",High,OllamaEmbeddingProvider uses native /api/embed endpoint;OpenAICompatEmbeddingProvider uses /v1/embeddings endpoint;FakeEmbeddingProvider returns deterministic SHA-256-based vectors;Batch embedding support for multiple texts;Configurable dimension model and timeout
CA-REQ-081,SurrealDB Python Client,"The Python worker must have a working SurrealDB HTTP client for querying symbol and requirement data.",High,SurrealClient converts ws URL to http and strips /rpc suffix;connect method creates httpx client with basic auth and verifies via GET /health;query method POSTs to /sql endpoint;connected property tracks connection state;close method disposes httpx client
CA-REQ-082,Go gRPC Client for Worker,"The Go API server must have a gRPC client to call the Python worker ReasoningService, LinkingService, RequirementsService, and KnowledgeService.",High,Client connects to worker at configured address;Timeout and retry configuration;Health check before first use;Client used by GraphQL resolvers for AI operations;Supports all 16 RPCs across 4 services
CA-REQ-083,Redis Cache Implementation,"The Redis cache client must use go-redis for real caching instead of falling back to in-memory.",Medium,go-redis client connects to configured Redis URL;Cache operations support get set and delete with TTL;Graceful fallback to in-memory when Redis unavailable;Cache keys prefixed by tenant ID
CA-REQ-084,Prometheus Metrics Instrumentation,"The API server must expose real Prometheus metrics for HTTP requests, GraphQL operations, worker RPCs, and indexing.",Medium,httpRequestsTotal counter by method and path;httpRequestDuration histogram;gqlOperationsTotal counter;workerRPCCalls and workerRPCErrors counters;indexingTotal counter;Metrics served at GET /metrics in Prometheus text format
CA-REQ-085,Kubernetes Health Probes,"The readiness probe must verify actual backend connectivity not just return a static response.",Medium,Readyz checks SurrealDB ping and returns per-component status;Readyz checks worker gRPC health if configured;Healthz returns 200 with ok text if process is alive;JSON response with api database and worker status fields
CA-REQ-086,Metrics Middleware,"The API must track HTTP request counts and durations via middleware on all routes.",Low,metricsMiddleware increments request counter per request;Accumulates duration in atomic float64;graphqlCountMiddleware increments GraphQL operation counter;Middleware applied to all routes before handlers
CA-REQ-087,Docker Compose Full Stack,"The system must be deployable via docker compose up with web UI, API, worker, and SurrealDB.",High,Single docker-compose.yml starts all services;Web UI accessible on port 3000;API accessible on port 8080;Worker connects to API via gRPC;SurrealDB data persisted in named volume
CA-REQ-088,Kubernetes Deployment,"The system must deploy to Kubernetes with separate deployments for API, web, worker, and SurrealDB.",High,Deployment manifests for all four components;Services and ingress configured for external access;ConfigMaps for non-secret configuration;Secrets for credentials and API keys;PersistentVolumeClaims for SurrealDB data
CA-REQ-089,Tekton CI/CD Pipeline,"The Tekton pipeline must build all container images and deploy them to the cluster.",High,Clone task fetches repository;Kaniko builds API web and worker images sequentially due to RWO PVC;Images pushed to internal registry at 192.168.10.222:30500;Rollout restart triggers deployment update;Telegram notification on pipeline completion via finally block
CA-REQ-090,Container Image Tagging,"All container images must be tagged with the git commit SHA from the clone task.",Medium,Image tag format is sha-COMMITSHA from tasks.clone.results.COMMIT_SHA;Images pushed to registry with SHA tag;Deployment manifests reference SHA tags;Pipeline workspace uses volumeClaimTemplate
CA-REQ-091,Admin Auth Persistence,"Admin password and authentication state must persist to SurrealDB across pod restarts.",High,Admin user record stored in SurrealDB;Password hashed with bcrypt;Login validates against persisted credentials;Password change updates persisted record
CA-REQ-092,VS Code Repository Mapping,"The VS Code extension must map local workspace folders to server-side repositories by name matching.",Medium,Extension resolves workspace folder name to repository;Case-insensitive name matching against server repositories;Falls back to single-repo auto-select;QuickPick shown when ambiguous;Repository ID used for all subsequent API calls
CA-REQ-093,Tekton Webhook Configuration,"The Tekton webhook trigger must be accessible from GitHub for automated pipeline runs on push.",Medium,EventListener service exposed via ingress or NodePort;GitHub webhook configured with cluster-external URL;Push events trigger pipeline runs automatically;Webhook secret validates payload authenticity
CA-REQ-094,Embedding Configuration,"Worker embedding configuration must be provided via environment variables with SOURCEBRIDGE_WORKER prefix.",Medium,embedding_provider configurable as ollama or openai-compatible;embedding_model defaults to nomic-embed-text;embedding_dimension defaults to 768;embedding_base_url configurable;embedding_api_key optional for Ollama
CA-REQ-095,Requirement Enrichment via LLM,"The worker must support enriching imported requirements with LLM-suggested priority and tags.",Low,EnrichRequirement RPC accepts a requirement and returns enhanced copy;LLM generates suggested_priority and suggested_tags as JSON;Suggested tags merged with existing tags and deduplicated;Results stored alongside original requirement via enrichRequirement mutation
CA-REQ-096,Code Graph Visualization,"The web UI must render interactive code dependency graphs using React Flow.",Medium,Graph shows nodes for symbols and edges for relationships;Four node types with type-specific border colors;Zoom pan and click-to-navigate supported;Animated edges show relationship direction;Graph accessible from repository detail page
CA-REQ-097,Module-Level Data Model,"The system must extract and store module-level data from directory structure with contained files and symbols.",Medium,Modules identified from directory structure;GetModules returns all modules for a repository;Modules linked to contained files and key symbols;Module summaries generated via summarize_module
CA-REQ-098,Call Graph Storage,"The system must store caller-callee relationships between symbols for dependency analysis.",Medium,GetCallers returns symbol IDs that call a given symbol;GetCallees returns symbol IDs called by a given symbol;Call graph stored during indexing phase;Relationships derived from AST analysis
CA-REQ-099,Import Tracking,"The system must store import relationships between files for dependency analysis.",Medium,GetImports returns all import records for a repository;Import relationships stored during indexing;Used for dependency graph visualization;File-to-file import edges tracked
CA-REQ-100,LLM Usage Tracking,"The system must record and expose LLM API usage data for cost monitoring.",Medium,StoreLLMUsage records provider model operation and token counts;GetLLMUsage returns records in reverse chronological order;LLM usage query exposed via GraphQL;Dashboard shows recent AI operations from usage data;Token totals shown in platform stats
CA-REQ-101,Embedding Cache,"The system must cache computed embedding vectors for symbols and requirements to avoid recomputation.",Medium,StoreEmbedding caches vector for a target ID;GetEmbedding retrieves cached vector;Target can be symbol requirement or file;Cache shared between linking and search operations
